,0
Country Name,0
Country Code,0
Indicator Name,0
Indicator Code,0
1960,115
1961,112
1962,110
1963,110
1964,110
1965,104
1966,103
1967,99
1968,98
1969,98
1970,76
1971,75
1972,75
1973,75
1974,75
1975,71
1976,71
1977,68
1978,69
1979,68
1980,58
1981,58
1982,57
1983,57
1984,55
1985,53
1986,53
1987,46
1988,43
1989,43
1990,26
1991,25
1992,24
1993,23
1994,22
1995,19
1996,19
1997,17
1998,16
1999,16
2000,14
2001,13
2002,9
2003,9
2004,9
2005,9
2006,8
2007,8
2008,7
2009,5
2010,5
2011,4
2012,6
2013,6
2014,5
2015,6
2016,7
2017,7
2018,7
2019,7
2020,8
2021,8
2022,9
2023,15
2024,26
Unnamed: 69,266
